"","LA County","age_0.18","age_19.49","age_50.64","age_65.79","age_80.","obese_0BMI.24","obese_1BMI25.29","obese_2BMI30.34","obese_3BMI.35","smoker","comorbidity.yes"
"1",0.01594,1,0,0,0,0,1,0,0,0,1,0
"2",0.107391,1,0,0,0,0,1,0,0,0,0,0
"3",0.005041,1,0,0,0,0,0,1,0,0,1,0
"4",0.0582,1,0,0,0,0,0,1,0,0,0,0
"5",0.00168,1,0,0,0,0,0,0,1,0,1,0
"6",0.023711,1,0,0,0,0,0,0,1,0,0,0
"7",0,1,0,0,0,0,0,0,0,1,1,0
"8",0,1,0,0,0,0,0,0,0,1,0,0
"9",0.118611,0,1,0,0,0,1,0,0,0,0,0
"10",0.029481,0,0,1,0,0,1,0,0,0,0,0
"11",0.017355,0,0,0,1,0,1,0,0,0,0,0
"12",0.019378,0,0,0,0,1,1,0,0,0,0,0
"13",0.074726,0,1,0,0,0,0,1,0,0,0,0
"14",0.031548,0,0,1,0,0,0,1,0,0,0,0
"15",0.019621,0,0,0,1,0,0,1,0,0,0,0
"16",0.015697,0,0,0,0,1,0,1,0,0,0,0
"17",0.028398,0,1,0,0,0,0,0,1,0,0,0
"18",0.01133,0,0,1,0,0,0,0,1,0,0,0
"19",0.006478,0,0,0,1,0,0,0,1,0,0,0
"20",0.004809,0,0,0,0,1,0,0,1,0,0,0
"21",0,0,1,0,0,0,0,0,0,1,0,0
"22",0,0,0,1,0,0,0,0,0,1,0,0
"23",0,0,0,0,1,0,0,0,0,1,0,0
"24",0,0,0,0,0,1,0,0,0,1,0,0
"25",0.030885,0,1,0,0,0,1,0,0,0,1,0
"26",0.004134,0,0,1,0,0,1,0,0,0,1,0
"27",0.000884,0,0,0,1,0,1,0,0,0,1,0
"28",0.001094,0,0,0,0,1,1,0,0,0,1,0
"29",0.011529,0,1,0,0,0,0,1,0,0,1,0
"30",0.002587,0,0,1,0,0,0,1,0,0,1,0
"31",0.000486,0,0,0,1,0,0,1,0,0,1,0
"32",0.000464,0,0,0,0,1,0,1,0,0,1,0
"33",0.004178,0,1,0,0,0,0,0,1,0,1,0
"34",0.00073,0,0,1,0,0,0,0,1,0,1,0
"35",0.000166,0,0,0,1,0,0,0,1,0,1,0
"36",0.000188,0,0,0,0,1,0,0,1,0,1,0
"37",0,0,1,0,0,0,0,0,0,1,1,0
"38",0,0,0,1,0,0,0,0,0,1,1,0
"39",0,0,0,0,1,0,0,0,0,1,1,0
"40",0,0,0,0,0,1,0,0,0,1,1,0
"41",0.078374,0,1,0,0,0,1,0,0,0,0,1
"42",0.02884,0,0,1,0,0,1,0,0,0,0,1
"43",0.021224,0,0,0,1,0,1,0,0,0,0,1
"44",0.019245,0,0,0,0,1,1,0,0,0,0,1
"45",0.044791,0,1,0,0,0,0,1,0,0,0,1
"46",0.028332,0,0,1,0,0,0,1,0,0,0,1
"47",0.020981,0,0,0,1,0,0,1,0,0,0,1
"48",0.01479,0,0,0,0,1,0,1,0,0,0,1
"49",0.02223,0,1,0,0,0,0,0,1,0,0,1
"50",0.012458,0,0,1,0,0,0,0,1,0,0,1
"51",0.009241,0,0,0,1,0,0,0,1,0,0,1
"52",0.00587,0,0,0,0,1,0,0,1,0,0,1
"53",0,0,1,0,0,0,0,0,0,1,0,1
"54",0,0,0,1,0,0,0,0,0,1,0,1
"55",0,0,0,0,1,0,0,0,0,1,0,1
"56",0,0,0,0,0,1,0,0,0,1,0,1
"57",0.023037,0,1,0,0,0,1,0,0,0,1,1
"58",0.00451,0,0,1,0,0,1,0,0,0,1,1
"59",0.001271,0,0,0,1,0,1,0,0,0,1,1
"60",0.001216,0,0,0,0,1,1,0,0,0,1,1
"61",0.007871,0,1,0,0,0,0,1,0,0,1,1
"62",0.00252,0,0,1,0,0,0,1,0,0,1,1
"63",0.000663,0,0,0,1,0,0,1,0,0,1,1
"64",0.000442,0,0,0,0,1,0,1,0,0,1,1
"65",0.003803,0,1,0,0,0,0,0,1,0,1,1
"66",0.001017,0,0,1,0,0,0,0,1,0,1,1
"67",0.000343,0,0,0,1,0,0,0,1,0,1,1
"68",0.00021,0,0,0,0,1,0,0,1,0,1,1
"69",0,0,1,0,0,0,0,0,0,1,1,1
"70",0,0,0,1,0,0,0,0,0,1,1,1
"71",0,0,0,0,1,0,0,0,0,1,1,1
"72",0,0,0,0,0,1,0,0,0,1,1,1
