"","LA County","age_0.18","age_19.49","age_50.64","age_65.79","age_80.","obese_0BMI.30","obese_1BMI30.40","obese_2BMI40.","smoker","comorbidity.yes"
"1",0.02061,1,0,0,0,0,1,0,0,1,0
"2",0.1517,1,0,0,0,0,1,0,0,0,0
"3",0.00204,1,0,0,0,0,0,1,0,1,0
"4",0.03281,1,0,0,0,0,0,1,0,0,0
"5",0.00045,1,0,0,0,0,0,0,1,1,0
"6",0.00674,1,0,0,0,0,0,0,1,0,0
"7",0.16875,0,1,0,0,0,1,0,0,0,0
"8",0.04657,0,0,1,0,0,1,0,0,0,0
"9",0.02863,0,0,0,1,0,1,0,0,0,0
"10",0.02981,0,0,0,0,1,1,0,0,0,0
"11",0.04291,0,1,0,0,0,0,1,0,0,0
"12",0.01836,0,0,1,0,0,0,1,0,0,0
"13",0.01088,0,0,0,1,0,0,1,0,0,0
"14",0.00859,0,0,0,0,1,0,1,0,0,0
"15",0.0101,0,1,0,0,0,0,0,1,0,0
"16",0.00332,0,0,1,0,0,0,0,1,0,0
"17",0.00155,0,0,0,1,0,0,0,1,0,0
"18",0.00124,0,0,0,0,1,0,0,1,0,0
"19",0.04085,0,1,0,0,0,1,0,0,1,0
"20",0.00608,0,0,1,0,0,1,0,0,1,0
"21",0.00148,0,0,0,1,0,1,0,0,1,0
"22",0.00155,0,0,0,0,1,1,0,0,1,0
"23",0.00624,0,1,0,0,0,0,1,0,1,0
"24",0.00123,0,0,1,0,0,0,1,0,1,0
"25",0.00032,0,0,0,1,0,0,1,0,1,0
"26",0.00016,0,0,0,0,1,0,1,0,1,0
"27",0.0013,0,1,0,0,0,0,0,1,1,0
"28",0.00017,0,0,1,0,0,0,0,1,1,0
"29",0.00006,0,0,0,1,0,0,0,1,1,0
"30",0.00002,0,0,0,0,1,0,0,1,1,0
"31",0.10796,0,1,0,0,0,1,0,0,0,1
"32",0.04482,0,0,1,0,0,1,0,0,0,1
"33",0.03342,0,0,0,1,0,1,0,0,0,1
"34",0.02839,0,0,0,0,1,1,0,0,0,1
"35",0.03314,0,1,0,0,0,0,1,0,0,1
"36",0.02078,0,0,1,0,0,0,1,0,0,1
"37",0.01545,0,0,0,1,0,0,1,0,0,1
"38",0.00926,0,0,0,0,1,0,1,0,0,1
"39",0.00804,0,1,0,0,0,0,0,1,0,1
"40",0.00378,0,0,1,0,0,0,0,1,0,1
"41",0.00218,0,0,0,1,0,0,0,1,0,1
"42",0.00138,0,0,0,0,1,0,0,1,0,1
"43",0.02902,0,1,0,0,0,1,0,0,1,1
"44",0.0063,0,0,1,0,0,1,0,0,1,1
"45",0.00138,0,0,0,1,0,1,0,0,1,1
"46",0.00182,0,0,0,0,1,1,0,0,1,1
"47",0.00461,0,1,0,0,0,0,1,0,1,1
"48",0.00162,0,0,1,0,0,0,1,0,1,1
"49",0.00039,0,0,0,1,0,0,1,0,1,1
"50",0.00022,0,0,0,0,1,0,1,0,1,1
"51",0.00112,0,1,0,0,0,0,0,1,1,1
"52",0.00026,0,0,1,0,0,0,0,1,1,1
"53",0.00013,0,0,0,1,0,0,0,1,1,1
"54",0.00001,0,0,0,0,1,0,0,1,1,1
