"","CFR % mean (95% CI)","IFR % mean (95% CI)"
"2020-03-01","1.21 (0.21,2.42)","0.24 (0.03,0.54)"
"2020-03-15","1.21 (0.77,1.62)","0.24 (0.08,0.43)"
"2020-04-01","2.31 (1.77,2.67)","0.46 (0.17,0.75)"
"2020-04-15","4.18 (3.27,4.74)","0.83 (0.31,1.36)"
"2020-05-01","5.56 (4.35,6.3)","1.1 (0.41,1.81)"
"2020-05-15","5.86 (4.61,6.62)","1.16 (0.43,1.91)"
"2020-06-01","4.97 (3.86,5.64)","0.99 (0.36,1.64)"
"2020-06-15","4.18 (3.2,4.81)","0.84 (0.3,1.4)"
"2020-07-01","3.51 (2.69,4.18)","0.71 (0.26,1.19)"
"2020-07-15","3.2 (2.46,3.89)","0.64 (0.24,1.09)"
"2020-08-01","3 (2.3,3.68)","0.6 (0.23,1.03)"
"2020-08-15","2.86 (2.19,3.54)","0.58 (0.22,0.99)"
"2020-09-01","2.79 (2.13,3.45)","0.56 (0.22,0.97)"
"2020-09-15","2.76 (2.1,3.42)","0.55 (0.22,0.97)"
"2020-10-01","2.73 (2.08,3.38)","0.55 (0.22,0.96)"
"2020-10-15","2.74 (2.08,3.39)","0.55 (0.22,0.96)"
"2020-11-01","2.6 (1.96,3.24)","0.52 (0.21,0.92)"
"2020-11-15","2.36 (1.73,3.02)","0.47 (0.19,0.85)"
"2020-12-01","2.01 (1.34,2.73)","0.4 (0.16,0.74)"
"2020-12-15","1.72 (1.08,2.44)","0.34 (0.14,0.64)"
"2021-01-01","1.51 (0.97,2.2)","0.29 (0.13,0.54)"
"2021-01-15","1.42 (0.98,2.01)","0.28 (0.13,0.49)"
"2021-02-01","1.5 (1.12,1.98)","0.29 (0.14,0.5)"
"2021-02-15","1.59 (1.23,2.02)","0.31 (0.15,0.53)"
"2021-03-01","1.65 (1.29,2.06)","0.32 (0.16,0.55)"
